circular_date,action,area_name,geographic_definition,notice_days,circular_ref,notes
2021-04-29,amended,Cabo Delgado,waters within 50nm of Mozambique and Tanzania; north from Mnazi Bay 10-19.6S 40-18.9E to high seas 9-50.7S 41-7.6E,,JWLA-027,supersedes JWLA-026; amends the southerly high seas point
2022-03-07,amended,Sea of Azov and Black Sea,waters enclosed by boundaries from the Ukraine-Romania border 45-10.858N 29-45.929E east to the Russia-Georgia border 43-23.126N 40-0.599E,,JWLA-029,first listing after the Feb 2022 Black Sea onset
2022-04-04,added,Russia,,,JWLA-030,
2022-04-04,amended,Sea of Azov and Black Sea,description only; inland waters added as defined overleaf,,JWLA-030,circular states description only
2023-04-25,added,Sudan,,,JWLA-031,
2023-04-25,amended,Sea of Azov and Black Sea,"all inland waters of Ukraine, including within Crimea and other Ukrainian territories under Russian control",,JWLA-031,
2023-12-18,added,Guyana,only calls to offshore installations in the Guyanese EEZ beyond territorial waters,,JWLA-032,
2023-12-18,amended,"Indian Ocean, Gulf of Aden and Southern Red Sea",NW: Red Sea south of 18N,,JWLA-032,one month after the 2023-11 Bab-el-Mandeb onset
2026-03-03,added,Bahrain,,,JWLA-033,
2026-03-03,added,Djibouti,,,JWLA-033,
2026-03-03,added,Kuwait,,,JWLA-033,
2026-03-03,added,Oman,,,JWLA-033,
2026-03-03,added,Qatar,,,JWLA-033,
2026-03-03,amended,"Persian/Arabian Gulf, Gulf of Oman, Indian Ocean, Gulf of Aden and Southern Red Sea","NW: Red Sea south of 18N; NE: Pakistan coastline 25-19-15N 65E; E: to 10-48N 65E, thence 10-48N 60-15E, thence 6-45S 48-45E; SW: Somalia border 1-40S 41-34E to 6-45S 48-45E",,JWLA-033,four days after the 2026-02-28 Hormuz onset; area renamed to include the Persian/Arabian Gulf
2026-07-29,amended,Saudi Arabia,,,JWLA-034,consolidated; JWLA-033 listed Gulf coast and Red Sea coast (excluding transits) separately
2026-07-29,amended,"Persian/Arabian Gulf, Gulf of Oman, Indian Ocean, Gulf of Aden and Southern Red Sea","NW: Red Sea south of 25.5N, not including Egyptian territorial waters; NE: Pakistan coastline 25-19-15N 65E; E: to 10-48N 65E, thence 10-48N 60-15E, thence 6-45S 48-45E; SW: Somalia border 1-40S 41-34E to 6-45S 48-45E",,JWLA-034,Red Sea line moved north from 18N to 25.5N; Egyptian territorial waters carved out
2026-07-29,amended,Eritrea,,,JWLA-034,qualifier removed; JWLA-033 listed Eritrea only south of 18N
2026-07-29,removed,Pakistan,,,JWLA-034,circular wording is Deleted; the Asia heading disappears
